,junction_id,junction_type,x,y,z,isRoundabout,trafficlight_count,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_combined_3dimensions
0,-10156,traffic_light,2484.93,7968.89,,False,"[8, '-10156', [['--32878#2', '--32878#1', '-10156', 's', 'o'], ['--32878#2', '--32878#1', '-10156', 's', 'o'], ['--32878#2', '--31046#1', '-10156', 'l', 'o'], ['-31046#1', '-32878#2', '-10156', 'r', 'o'], ['-31046#1', '--32878#1', '-10156', 'l', 'o'], ['-32878#1', '--31046#1', '-10156', 'r', 'o'], ['-32878#1', '-32878#2', '-10156', 's', 'o'], ['-32878#1', '-32878#2', '-10156', 's', 'o']]]",13.89,0.0,79.004,11.67723357649405,"['highway.secondary', 'highway.secondary', 'highway.residential', 'highway.secondary', 'highway.secondary']",6.4,5,13.89,0.0,8.881249999999998,2.501091949029463,,-1,8,1,1
1,-10160,traffic_light,11174.53,7921.24,,False,"[12, '-10160', [['--30856#15', '--30856#14', '-10160', 's', 'o'], ['--30856#15', '--30856#14', '-10160', 's', 'o'], ['--30856#15', '--30856#14', '-10160', 's', 'o'], ['--30856#15', '--31628', '-10160', 'l', 'o'], ['--30856#15', '--31628', '-10160', 'l', 'o'], ['-30856#14', '--31628', '-10160', 'r', 'o'], ['-30856#14', '-30856#15', '-10160', 's', 'o'], ['-30856#14', '-30856#15', '-10160', 's', 'o'], ['-30856#14', '-30856#15', '-10160', 's', 'o'], ['-31628', '-30856#15', '-10160', 'r', 'o'], ['-31628', '--30856#14', '-10160', 'l', 'o'], ['-31628', '--30856#14', '-10160', 'l', 'o']]]",14.81666666666667,1.3105045677990688,369.8033333333333,197.29319794548303,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary']",9.0,9,14.585,0.6949999999999994,21.49833333333333,6.8360098416807125,,-1,12,0,1
2,-10258,traffic_light,7933.18,5747.55,,False,"[14, '-10258', [['--31388#4', '-32964#4', '-10258', 'r', 'o'], ['--31388#4', '--31388#3', '-10258', 's', 'o'], ['--31388#4', '--32964#3', '-10258', 'l', 'o'], ['--32964#4', '--31388#3', '-10258', 'r', 'o'], ['--32964#4', '--32964#3', '-10258', 's', 'o'], ['--32964#4', '--32964#3', '-10258', 's', 'o'], ['--32964#4', '-31388#4', '-10258', 'l', 'o'], ['-31388#3', '--32964#3', '-10258', 'r', 'o'], ['-31388#3', '-31388#4', '-10258', 's', 'o'], ['-31388#3', '-32964#4', '-10258', 'l', 'o'], ['-32964#3', '-31388#4', '-10258', 'r', 'o'], ['-32964#3', '-32964#4', '-10258', 's', 'o'], ['-32964#3', '-32964#4', '-10258', 's', 'o'], ['-32964#3', '--31388#3', '-10258', 'l', 'o']]]",13.89,0.0,125.55,35.95881254991605,"['highway.residential', 'highway.tertiary', 'highway.tertiary', 'highway.residential', 'highway.tertiary', 'highway.tertiary']",5.333333333333333,6,13.89,1.7763568394002505e-15,10.075714285714287,3.7956304093103737,,-1,14,1,1
3,-10438,traffic_light,6815.43,6883.31,,False,"[12, '-10438', [['--32750#12', '-30644#1', '-10438', 'r', 'o'], ['--32750#12', '--32750#11', '-10438', 's', 'o'], ['--32750#12', '--32750#11', '-10438', 's', 'o'], ['--32750#12', '--32750#11', '-10438', 's', 'o'], ['-30644#0', '-32750#12', '-10438', 'r', 'o'], ['-30644#0', '-30644#1', '-10438', 's', 'o'], ['-30644#0', '--32750#11', '-10438', 'l', 'o'], ['-30644#0', '--32750#11', '-10438', 'l', 'o'], ['-32750#11', '-32750#12', '-10438', 's', 'o'], ['-32750#11', '-32750#12', '-10438', 's', 'o'], ['-32750#11', '-32750#12', '-10438', 's', 'o'], ['-32750#11', '-30644#1', '-10438', 'l', 'o']]]",14.585,1.2037753112603702,177.0075,75.1815997684939,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary', 'highway.primary']",8.5,8,14.700833333333334,0.8897327157947802,11.738333333333332,4.622351193446422,,-1,12,0,1
4,-10518,traffic_light,7231.96,5506.98,,False,"[11, '-10518', [['--31272#1', '--30950', '-10518', 'r', 'o'], ['--31272#1', '--31272#0', '-10518', 's', 'o'], ['--31272#1', '--31272#0', '-10518', 's', 'o'], ['--31272#1', '--31272#0', '-10518', 's', 'o'], ['-30950', '--31272#0', '-10518', 'r', 'o'], ['-30950', '-31272#1', '-10518', 'l', 'o'], ['-30950', '-31272#1', '-10518', 'l', 'o'], ['-31272#0', '-31272#1', '-10518', 's', 'o'], ['-31272#0', '-31272#1', '-10518', 's', 'o'], ['-31272#0', '-31272#1', '-10518', 's', 'o'], ['-31272#0', '--30950', '-10518', 'l', 'o']]]",13.89,0.0,227.5125,234.83640985535013,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.tertiary', 'highway.tertiary', 'highway.primary', 'highway.primary', 'highway.primary']",8.25,8,13.890000000000002,1.7763568394002505e-15,17.06909090909091,4.179803071797553,,-1,11,1,1
5,-10588,traffic_light,5583.55,7187.59,,False,"[16, '-10588', [['--30566#0', '-31844#1', '-10588', 'r', 'o'], ['--30566#0', '-32160#0', '-10588', 's', 'o'], ['--30566#0', '--31844#0', '-10588', 'l', 'o'], ['--31844#1', '-32160#0', '-10588', 'r', 'o'], ['--31844#1', '--31844#0', '-10588', 's', 'o'], ['--31844#1', '-30566#0', '-10588', 'l', 'o'], ['--32160#0', '--31844#0', '-10588', 'r', 'o'], ['--32160#0', '-30566#0', '-10588', 's', 'o'], ['--32160#0', '-31844#1', '-10588', 'l', 'o'], ['-31844#0', '-30566#0', '-10588', 'r', 'o'], ['-31844#0', '-31844#1', '-10588', 's', 'o'], ['-31844#0', '-32160#0', '-10588', 'l', 'o'], ['-32840', '-31844#1', '-10588', 'r', 'o'], ['-32840', '-32160#0', '-10588', 's', 'o'], ['-32840', '--31844#0', '-10588', 'L', 'o'], ['-32840', '-30566#0', '-10588', 'l', 'o']]]",13.89,0.0,198.644,132.34291391683954,"['highway.residential', 'highway.residential', 'highway.residential', 'highway.residential', 'highway.residential']",4.0,5,13.89,0.0,8.251875,2.864607780198713,,-1,16,1,1
6,-10780,traffic_light,8308.16,5858.99,,False,"[8, '-10780', [['--32420', '-32432#10', '-10780', 'r', 'o'], ['--32420', '--32432#9', '-10780', 'l', 'o'], ['--32432#10', '--32432#9', '-10780', 's', 'o'], ['--32432#10', '--32432#9', '-10780', 's', 'o'], ['--32432#10', '-32420', '-10780', 'l', 'o'], ['-32432#9', '-32420', '-10780', 'r', 'o'], ['-32432#9', '-32432#10', '-10780', 's', 'o'], ['-32432#9', '-32432#10', '-10780', 's', 'o']]]",13.89,0.0,130.42,95.19710121637108,"['highway.secondary', 'highway.secondary', 'highway.residential', 'highway.secondary', 'highway.secondary']",6.4,5,13.89,0.0,13.39625,3.884143848713639,,-1,8,1,1
7,-10820,traffic_light,5966.16,7368.21,,False,"[11, '-10820', [['--30256#2', '--32274', '-10820', 'r', 'o'], ['--30256#2', '--30256#1', '-10820', 's', 'o'], ['--30256#2', '--30256#1', '-10820', 's', 'o'], ['--30256#2', '--30256#1', '-10820', 's', 'o'], ['-30256#1', '-30256#2', '-10820', 's', 'o'], ['-30256#1', '-30256#2', '-10820', 's', 'o'], ['-30256#1', '-30256#2', '-10820', 's', 'o'], ['-30256#1', '--32274', '-10820', 'l', 'o'], ['-32274', '--30256#1', '-10820', 'r', 'o'], ['-32274', '-30256#2', '-10820', 'l', 'o'], ['-32274', '-30256#2', '-10820', 'l', 'o']]]",13.89,0.0,212.59714285714284,125.97996322706987,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.residential', 'highway.primary', 'highway.primary', 'highway.primary']",8.285714285714286,7,13.890000000000002,1.7763568394002505e-15,10.45,3.8034505864591375,,-1,11,1,1
8,-1086,traffic_light,6526.1,6155.0,,False,"[11, '-1086', [['--30892#12', '--30892#11', '-1086', 's', 'o'], ['--30892#12', '--30892#11', '-1086', 's', 'o'], ['--30892#12', '--30892#11', '-1086', 's', 'o'], ['--30892#12', '--30418#6', '-1086', 'l', 'o'], ['-30418#6', '-30892#12', '-1086', 'r', 'o'], ['-30418#6', '--30892#11', '-1086', 'l', 'o'], ['-30418#6', '--30892#11', '-1086', 'l', 'o'], ['-30892#11', '--30418#6', '-1086', 'r', 'o'], ['-30892#11', '-30892#12', '-1086', 's', 'o'], ['-30892#11', '-30892#12', '-1086', 's', 'o'], ['-30892#11', '-30892#12', '-1086', 's', 'o']]]",13.89,0.0,115.30857142857144,81.85984109240299,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.residential', 'highway.primary', 'highway.primary', 'highway.primary']",8.285714285714286,7,13.890000000000002,1.7763568394002505e-15,10.053636363636365,4.133625467326743,,-1,11,1,1
9,-11042,traffic_light,9528.65,9218.91,,False,"[14, '-11042', [['--30244#0', '-31070#3', '-11042', 'r', 'o'], ['--30244#0', '-32078', '-11042', 's', 'o'], ['--30244#0', '--31070#2', '-11042', 'l', 'o'], ['--31070#3', '-32078', '-11042', 'r', 'o'], ['--31070#3', '--31070#2', '-11042', 's', 'o'], ['--31070#3', '--31070#2', '-11042', 's', 'o'], ['--31070#3', '-30682', '-11042', 'l', 'o'], ['--32078', '--31070#2', '-11042', 'r', 'o'], ['--32078', '-30682', '-11042', 's', 'o'], ['--32078', '-31070#3', '-11042', 'l', 'o'], ['-31070#2', '-30682', '-11042', 'r', 'o'], ['-31070#2', '-31070#3', '-11042', 's', 'o'], ['-31070#2', '-31070#3', '-11042', 's', 'o'], ['-31070#2', '-32078', '-11042', 'l', 'o']]]",13.89,0.0,339.78714285714284,215.8053752616851,"['highway.tertiary', 'highway.tertiary', 'highway.residential', 'highway.tertiary', 'highway.tertiary', 'highway.tertiary', 'highway.tertiary']",5.714285714285714,7,13.89,1.7763568394002505e-15,11.102857142857143,4.25522272133472,,-1,14,1,1
